clus,pois,latitude,longitude,time,categories
64,Anfiteatro_di_Boboli,43.76395556,11.25104444,272.7142857,teatridifirenze;anfiteatri;boboli
65,Palazzo_dei_Cavalcanti,43.77043056,11.25516389,351,palazzidifirenze
66,Ponte_Vecchio,43.76798889,11.25319167,414.778519,pontidifirenze
67,Casa_della_Gioventù_Italiana_del_Littorio_di_Firenze;Archivio_di_Stato_di_Firenze,43.76918056,11.27069167,120,archividistato;archividifirenze;architetturedifirenze;architetturedifirenze
68,Orti_Oricellari,43.77563889,11.24384167,120,monumentidifirenze;accademieeistitutidiculturadellatoscana;statue;giardinidifirenze
69,Grotta_del_Buontalenti,43.7662,11.25189722,136.0526316,grotteartificiali;fontanedifirenze;boboli
70,Torre_degli_Ubriachi,43.76718333,11.25270833,120,torridifirenze
71,Torre_dei_Rossi-Cerchi,43.76748333,11.25265278,222.882716,torridifirenze
72,Osservatorio_Ximeniano,43.77446389,11.25524167,232.4444444,firenze;osservatoriastronomicid'italia
73,Palazzo_Manetti;Torre_dei_Lanfredini,43.76861389,11.247725,120,torridifirenze;palazzidifirenze
74,Via_dei_Ramaglianti;Ex-sinagoga_di_via_de'_Ramaglianti;Torre_dei_Belfredelli;Torre_dei_Ramaglianti,43.76765,11.25135,120,torridifirenze;stradedifirenze;torridifirenze;sinagoghedifirenze
75,Torre_dei_Marsili,43.76788889,11.25089444,304.3809524,torridifirenze
76,Tabernacolo_di_Santa_Rosa,43.77186944,11.24070556,120,tabernacolidifirenze
77,Torre_dei_Ciacchi;Chiesa_di_Santa_Cecilia_(Firenze),43.76966944,11.25481389,188.2159091,chiesedifirenze;torridifirenze
78,Loggia_del_Bigallo,43.77274722,11.25525556,178.5494737,museidifirenze;loggedifirenze
79,Fortezza_da_Basso,43.78195833,11.24830278,1968.684211,fortezzedellatoscana;firenzefiera;architetturedifirenze
80,Chiesa_della_Madonna_della_Tosse,43.78645833,11.26535278,120,edificidicultodifirenze;chiesedifirenze
81,Palazzo_Martellini-Rosselli_del_Turco;Via_Maggio,43.76735556,11.24938889,1770.875,stradedifirenze;palazzidifirenze
82,Palazzo_Buondelmonti,43.76999444,11.25155556,158.4,palazzidifirenze
83,Arco_di_San_Pierino;Torre_dei_Pazzi_di_Valdarno,43.77159167,11.26181667,120,torridifirenze;archidifirenze
84,Oratorio_di_San_Pierino,43.77723889,11.26222222,120,chiesedifirenze
85,Torre_della_Zecca,43.76641389,11.26852778,120,architetturedifirenze;torridifirenze
86,Porta_a_Faenza,43.78096389,11.24927222,1800,architetturedifirenze
87,Chiesa_di_San_Michele_alle_Trombe;Torre_della_Pagliazza,43.77176389,11.25607778,1339.944444,chiesedifirenze;torridifirenze
88,Arco_di_trionfo_(Firenze),43.78417778,11.26210278,171.4347826,archidifirenze
89,Museo_Bardini,43.76501111,11.25843056,178.5789474,museidifirenze
90,Statua_equestre_di_Cosimo_I_de'_Medici,43.76977778,11.25601111,391.2902622,monumentidifirenze;scultureafirenze;operedigiambologna
91,Piazza_Santo_Spirito,43.76657778,11.24728889,400.742268,piazzedifirenze
