id;name;latitude;longitude
F238 ;Torre_dei_Filipetri;43.7686805556;11.2571944444
F239 ;Loggia_del_Grano;43.7685361111;11.2570555556
F240 ;Palazzo_Fagni-Da_Diacceto;43.7684055556;11.2573444444
F241 ;Palazzo_di_Alberto_di_Zanobi;43.7685611111;11.2573888889
F242 ;Ex-Cinema_Capitol;43.76841;11.256875
F243 ;Chiesa_di_San_Remigio;43.7683833333;11.2584666667
F244 ;Lungarno_Diaz;43.7670666667;11.2581388889
F245 ;Palazzo_della_Borsa_(Firenze);43.7673888889;11.2569805556
F246 ;Piazza_Mentana;43.7673416667;11.2578055556
F247 ;Via_dei_Georgofili;43.7684972222;11.2518305556
F248 ;Via_Lambertesca;43.7688472222;11.2544472222
F249 ;Torre_dei_Pulci;43.7685611111;11.2550722222
F250 ;Palazzo_Bartolommei-Buschetti;43.7688638889;11.2542916667
F251 ;Torre_dei_Rigaletti;43.7689638889;11.2542666667
F252 ;Torre_dei_Salterelli;43.7692111111;11.2545138889
F253 ;Chiesa_di_Santo_Stefano_al_Ponte;43.7686722222;11.2542444444
F254 ;Torre_degli_Amidei;43.7687638889;11.2536361111
F255 ;Torre_dei_Baldovinetti;43.7690138889;11.2537861111
F256 ;Ponte_Vecchio;43.7679888889;11.2531916667
F257 ;Torre_dei_Mannelli;43.7675361111;11.2529583333
F258 ;Chiesa_di_Santa_Felicita_(Firenze);43.7668333333;11.2526361111
F259 ;Cappella_Barbadori;43.7668972222;11.2524583333
F261 ;Torre_dei_Nerli;43.7671888889;11.2522277778
F262 ;Torre_degli_Ubriachi;43.7671833333;11.2527083333
F263 ;Torre_dei_Fifanti;43.7666555556;11.252875
F264 ;Casa_in_via_dello_Sprone;43.7667611111;11.2510333333
F265 ;Torre_in_via_dello_Sprone;43.7667555556;11.2506861111
F266 ;Via_Guicciardini;43.7669472222;11.2517888889
F267 ;Palazzo_Guicciardini;43.7665416667;11.2511
F268 ;Torre_dei_Rossi-Cerchi;43.7674833333;11.2526527778
F269 ;Borgo_San_Jacopo;43.7677305556;11.2518222222
F270 ;Fontana_dello_Sprone;43.7681055556;11.2499138889
F271 ;Torri_dei_Barbadori;43.7679083333;11.2515361111
F272 ;Torre_dei_Belfredelli;43.7676583333;11.2514472222
F273 ;Torre_dei_Ramaglianti;43.7675388889;11.2514083333
F274 ;Via_dei_Ramaglianti;43.76765;11.25135
F275 ;Chiesa_di_San_Jacopo_Soprarno;43.7681;11.2508916667
F276 ;Torre_dei_Marsili;43.7678888889;11.2508944444
F277 ;Torre_degli_Angiolieri;43.7679194444;11.2512555556
F278 ;Piazza_della_Passera;43.7671611111;11.2504472222
F279 ;Piazza_Santo_Spirito;43.7665777778;11.2472888889
F280 ;Basilica_di_Santo_Spirito;43.7676388889;11.2484361111
F281 ;Cappella_Corsini_di_Santo_Spirito;43.7674805556;11.2467916667
F282 ;Sagrestia_di_Santo_Spirito;43.7674638889;11.2479111111
F283 ;Cenacolo_di_Santo_Spirito;43.7670305556;11.2475666667
F284 ;Palazzo_Guadagni;43.7661138889;11.2472694444
F285 ;Biblioteca_Pietro_Thouar;43.7661138889;11.2472694444
F286 ;Bagno_comunale_di_Firenze;43.7668138889;11.2464944444
F287 ;Chiesa_di_San_Carlo_dei_Barnabiti;43.7669194444;11.2462194444
F288 ;Via_delle_Caldaie;43.7656388889;11.2465055556
F289 ;Palazzo_Settimanni;43.7657027778;11.246675
F290 ;Via_Santo_Spirito;43.7684472222;11.248375
F291 ;Palazzo_Capponi-Vettori;43.7696527778;11.2464722222
F292 ;Palazzo_Segni;43.7683361111;11.2491583333
F293 ;Palazzo_Machiavelli;43.7682527778;11.2489055556
F294 ;Palazzo_Coverelli;43.7683722222;11.2489888889
F295 ;Palazzo_Bardi-Guicciardini;43.7688888889;11.2483333333
F296 ;Palazzo_Frescobaldi;43.7681027778;11.2481111111
F297 ;Casa_Pitti;43.7685194444;11.2479638889
F298 ;Palazzo_Manetti;43.7686138889;11.247725
F299 ;Palazzo_Lanfredini;43.76905;11.2482222222
F300 ;Torre_dei_Lanfredini;43.7687138889;11.2477527778
F301 ;Palazzetto_Medici;43.7688361111;11.2474666667
F302 ;Palazzo_Rinuccini;43.7689222222;11.2465861111
F303 ;Palazzo_Medici-Soderini;43.7694833333;11.2471611111
F304 ;Lungarno_Guicciardini;43.7690472222;11.2485277778
F305 ;Piazza_de'_Pitti;43.7655416667;11.2496416667
F306 ;Palazzo_Temple_Leader;43.7658944444;11.2494583333
F307 ;Palazzo_Pitti;43.7652638889;11.2500944444
F308 ;Appartamenti_monumentali;43.7651111111;11.2496777778
F309 ;Galleria_palatina;43.7651777778;11.2499583333
F310 ;Galleria_d'arte_moderna_(Firenze);43.7651777778;11.2499583333
F311 ;Galleria_del_costume;43.7646083333;11.2490583333
F312 ;Museo_degli_argenti;43.7652194444;11.2505611111
F313 ;Museo_delle_porcellane;43.762;11.2525055556
F314 ;Museo_delle_carrozze;43.7650888889;11.248725
F315 ;Fonte_del_Leone;43.76555;11.2504777778
F316 ;Grotta_di_Mosè;43.7647305556;11.2504388889
F317 ;Fontana_del_Carciofo;43.7646611111;11.2504972222
F318 ;Giardino_di_Boboli;43.7623611111;11.2482972222
F319 ;Anfiteatro_di_Boboli;43.7639555556;11.2510444444
F320 ;Obelisco_di_Boboli;43.7641055556;11.2509277778
F321 ;Grotta_del_Buontalenti;43.7662;11.2518972222
F323 ;Kaffeehaus_del_Giardino_di_Boboli;43.7642555556;11.2525638889
F324 ;Fontana_dell'Oceano;43.7614611111;11.2455472222
F325 ;Fontana_del_Bacchino_(Boboli);43.7659416667;11.2512666667
F326 ;Ponte_Santa_Trinita;43.7690166667;11.2503111111
F327 ;Palazzo_della_Missione;43.7684194444;11.2501611111
F328 ;Piazza_Santa_Trinita;43.7700805556;11.2512444444
F329 ;Basilica_di_Santa_Trinita;43.7701777778;11.2506666667
F330 ;Cappella_Sassetti;43.7702694444;11.2506638889
F331 ;Palazzo_Spini_Feroni;43.7695944444;11.2509916667
F332 ;Palazzo_Buondelmonti;43.7699944444;11.2515555556
F333 ;Via_de'_Tornabuoni;43.7708555556;11.2514083333
F334 ;Palazzo_Antinori;43.7728166667;11.2511277778
F335 ;Chiesa_dei_Santi_Michele_e_Gaetano;43.7724555556;11.2517916667
F336 ;Cappella_Antinori;43.7725555556;11.2515888889
F337 ;Loggia_di_San_Gaetano;43.7725972222;11.2522055556
F338 ;Palazzo_Beccanugi;43.7724944444;11.2512305556
F339 ;Palazzo_Larderel;43.7722277778;11.2512805556
F340 ;Palazzo_Tornabuoni;43.7718972222;11.2516555556
F341 ;Palazzetto_Tornabuoni;43.7720305556;11.25125
F342 ;Palazzo_Viviani_della_Robbia;43.7717138889;11.2512027778
F343 ;Palazzo_Dudley;43.7714777778;11.2510583333
F344 ;Palazzo_Bartolini_Salimbeni;43.7701888889;11.2516916667
F345 ;Torre_dei_Gianfigliazzi;43.7699;11.250825
F346 ;Palazzo_Frescobaldi_di_San_Jacopo;43.7682416667;11.2500416667
F347 ;Via_Maggio;43.7674055556;11.2493361111
F348 ;Palazzo_Pitti-Mannelli;43.7680888889;11.2496
F349 ;Palazzo_Agostini_(Firenze);43.7677138889;11.249425
F350 ;Chiesa_Anglicana_di_St._Mark;43.7675777778;11.2493472222
F351 ;Palazzo_Ricasoli_Firidolfi;43.7675583333;11.249575
F352 ;Palazzo_Martellini-Rosselli_del_Turco;43.7673555556;11.2493888889
F353 ;Palazzo_Michelozzi;43.7670944444;11.2492944444
F354 ;Palazzo_Zanchini-Corbinelli;43.7668722222;11.2492194444
F355 ;Palazzo_di_Cosimo_Ridolfi;43.7667777778;11.2490861111
F356 ;Palazzo_di_Bianca_Cappello;43.7670305556;11.2490388889
F357 ;Palazzo_Biliotti;43.7664888889;11.2486638889
F358 ;Casa_Velluti;43.7664222222;11.2488722222
F359 ;Casa_di_Bernardo_Buontalenti;43.7657861111;11.2484805556
F360 ;Palazzo_Dami;43.7661444444;11.2484972222
F361 ;Palazzo_Corsini_Suarez;43.7660527778;11.2483861111
F362 ;Casa_Ridolfi;43.7654833333;11.2483388889
F363 ;Ponte_alla_Carraia;43.7702416667;11.2472472222
F365 ;Palazzo_Del_Pugliese;43.7686083333;11.2459083333
F366 ;Palazzo_Antinori_di_Brindisi;43.7682833333;11.2462194444
F367 ;Palazzo_Rosselli_del_Turco;43.7679944444;11.2462083333
F368 ;Monastero_di_San_Pietro_Martire;43.7634388889;11.2434638889
F369 ;Istituto_Emily_Gould;43.7666055556;11.2452388889
F370 ;Galleria_Pio_Fedi;43.7650638889;11.2443638889
F371 ;Chiesa_di_Santa_Elisabetta_delle_Convertite;43.7654472222;11.2443083333
F372 ;Teatro_Goldoni_(Firenze);43.7647138889;11.2443722222
F373 ;Giardino_Torrigiani;43.7657222222;11.241675
F374 ;Via_Romana;43.7633;11.2447611111
F375 ;Oratorio_di_San_Sebastiano_de'_Bini;43.7646861111;11.247
F376 ;Museo_di_storia_naturale_sezione_di_zoologia_La_Specola;43.7645305556;11.2473416667
F377 ;Tribuna_di_Galileo;43.7644083333;11.2473388889
F378 ;Chiesa_di_San_Pier_Gattolino;43.76315;11.2440916667
F379 ;Ospizio_di_San_Niccolò;43.7643027778;11.2466
F380 ;Giardino_Corsi_Annalena;43.7635805556;11.244125
F381 ;Via_del_Ronco;43.7626833333;11.244375
F382 ;Ex_Spedale_dello_Spirito_Santo;43.76255;11.2435638889
F383 ;Ex_Spedale_di_San_Pier_Novello;43.7639472222;11.2456638889
F384 ;Chiesa_e_convento_di_San_Vincenzo_d'Annalena;43.7644944444;11.2453916667
F385 ;Piazza_San_Felice_in_Piazza;43.7651;11.2480277778
F387 ;Chiesa_di_San_Felice_in_Piazza;43.76505;11.2476027778
F388 ;Casa_Guidi;43.7653083333;11.2479805556
F389 ;Porta_San_Frediano;43.7704666667;11.2400555556
F390 ;Tabernacolo_di_Santa_Rosa;43.7718694444;11.2407055556
