id;name;latitude;longitude
P70;Palazzo_Quarantotti;43.7177111111;10.4005638889
P71;Casa_Vanni;43.7171694444;10.4019638889
P72;Palazzo_Agostini;43.7166805556;10.4001555556
P75;Casa_Pierucci;43.7177305556;10.3995111111
P76;Casa_Rasponi_dalle_Teste;43.7170083333;10.3990638889
P77;Palazzo_Tobler_sul_Lungarno;43.7160861111;10.3956388889
P78;Palazzo_delle_Vedove;43.716575;10.3960361111
P79;Palazzo_Agonigi_da_Scorno;43.7186916667;10.3973
P8;Tebaide_(Buffalmacco);43.7242111111;10.3941
P80;Torre_di_Santa_Maria_(Pisa);43.7243027778;10.3934583333
P81;Casa_Agostini;43.7190083333;10.4030555556
P82;Palazzo_Poschi;43.7182194444;10.4019805556
P83;Palazzo_Cevoli;43.7147222222;10.4015416667
P84;Palazzo_Lanfranchi_(Pisa);43.7139833333;10.404525
P85;Palazzo_del_Torto;43.7121888889;10.4052333333
P86;Casa_Tizzoni;43.7135111111;10.4037888889
P87;Palazzo_Salviati;43.71425;10.4018916667
P88;Palazzo_Mosca;43.7155777778;10.400425
P89;Casa_del_Nero;43.7153527778;10.400075
P9;Scuola_Superiore_Sant'Anna;43.7203416667;10.4028722222
P90;Palazzo_Alliata;43.7156444444;10.3988166667
P91;Casa_Gualandi;43.7151083333;10.3967583333
P92;Ponte_della_Vittoria_(Pisa);43.7100222222;10.4083694444
P93;Ponte_Solferino;43.7151222222;10.3951222222
P94;Ponte_delle_Bocchette;43.6976222222;10.4358472222
P95;Casa_Miniati;43.7180416667;10.3965111111
P96;Domus_Galilaeana;43.71855;10.3971194444
P97;Museo_nazionale_degli_strumenti_per_il_calcolo;43.7167888889;10.3909361111
P98;Palazzo_Arcivescovile_(Pisa);43.7221944444;10.3986722222
P99;Torre_Guelfa;43.7136361111;10.3906694444
PIPOIHPC1000000002;Collegio_Superiore_dell'Università_di_Bologna;43.7203416667;10.4028722222
PIPOIHPC1000000103;Torre_del_Leone;43.7237638889;10.3934
PIPOIHPC1000000115;Museo_dell'Opera_del_Duomo_(Pisa);43.722475;10.3968777778
