clus,pois,latitude,longitude,time,categories
70,Cappella_Dal_Pozzo,43.72385833,10.39556111,465.4369159,cappelledipisa
71,Torre_del_Leone,43.72376389,10.3934,300,torridipisa
72,Porta_a_Lucca,43.72254167,10.40150556,300,portedipisa
73,Porta_Garibaldi_(Pisa),43.71528611,10.41145556,300,portedipisa
74,Palazzo_Poschi,43.71821944,10.40198056,300,palazzidipisa
75,Casa_Agostini,43.71900833,10.40305556,336.1111111,palazzidipisa
76,Chiesa_di_Santa_Maria_della_Spina,43.71527778,10.39638889,300,chiesedipisa
77,Chiesa_di_San_Pietro_in_Vinculis_(Pisa),43.71624722,10.40354167,408.7868852,chiesedipisa
78,Camposanto_monumentale,43.72395556,10.39465,471.5847458,museiarcheologicid'italia;museidipisa;cimiteridipisa
79,Stazione_di_Pisa_Centrale,43.70843889,10.39846111,544.6021505,stazioniferroviariedipisa
80,Chiesa_di_San_Giorgio_ai_Tedeschi,43.72171667,10.396925,470.1518987,chiesedipisa
81,Porta_Buoza,43.72142778,10.39266944,1200,portedipisa
82,Torre_di_San_Martino_in_Guatolongo,43.71031111,10.40328611,300,torridipisa
83,Stazione_di_Pisa_Aeroporto,43.69859722,10.39819167,120,stazioniferroviariedipisa
84,Chiesa_di_San_Benedetto_(Pisa),43.71305556,10.39361111,300,chiesedipisa
85,Logge_di_Banchi,43.71518056,10.40115,300,logge;architetturedipisa
86,Palazzo_Toscanelli,43.71527778,10.40549444,828.875,palazzidipisa
87,Palazzo_di_Giustizia_(Pisa),43.71608333,10.40639444,300,architetturedipisa;palazzidipisa
88,Chiesa_di_Sant'Antonio_in_Qualconia,43.71335278,10.39389444,300,chiesedipisa
89,Museo_dell'Opera_del_Duomo_(Pisa),43.722475,10.39687778,300,museidipisa
90,Teatro_Verdi_(Pisa),43.71681389,10.40423889,900,teatridipisa
91,Chiesa_della_Madonna_dei_Galletti,43.71672222,10.39935278,300,chiesedipisa
92,Palazzo_del_Podestà_(Pisa),43.71819167,10.40141944,300,palazzidipisa
93,Palazzo_Quarantotti,43.71771111,10.40056389,300,palazzidipisa
94,Cinema_Teatro_Lux,43.72113889,10.40398333,437.34375,teatridipisa;salecinematografichedipisa
95,Palazzo_dell'Orologio,43.71971944,10.39955,300,palazzidipisa
96,Statua_di_Cosimo_I,43.7195,10.40015833,300,scultureapisa
97,Museo_nazionale_di_palazzo_Reale,43.71634722,10.39673611,586.5,museidipisa;residenzedeimedici
98,Palazzo_Tobler,43.71909722,10.40184444,300,palazzidipisa
99,Palazzo_del_Consiglio_dei_Dodici,43.71904722,10.39961944,660.4,palazzidipisa
